local_datetime,weather,weather_desc,ws,hu,t
2025-05-11 14:00:00,61,Hujan Ringan,1.7,80,28
2025-05-11 17:00:00,3,Berawan,4.1,83,28
2025-05-11 20:00:00,3,Berawan,2.1,86,27
2025-05-11 23:00:00,3,Berawan,1.5,90,26
2025-05-12 02:00:00,3,Berawan,3.7,94,25
2025-05-12 05:00:00,3,Berawan,2.2,94,25
2025-05-12 08:00:00,3,Berawan,1.2,80,28
2025-05-12 11:00:00,3,Berawan,5.2,71,30
2025-05-12 14:00:00,3,Berawan,3.4,70,30
2025-05-12 17:00:00,61,Hujan Ringan,1.3,86,27
2025-05-12 20:00:00,3,Berawan,3.9,87,27
2025-05-12 23:00:00,3,Berawan,2.1,92,26
2025-05-13 02:00:00,3,Berawan,6,91,26
2025-05-13 05:00:00,3,Berawan,4.1,92,25
2025-05-13 08:00:00,3,Berawan,4.1,81,28
2025-05-13 11:00:00,2,Cerah Berawan,7.9,74,30
2025-05-13 14:00:00,61,Hujan Ringan,7.9,77,28
2025-05-13 17:00:00,61,Hujan Ringan,4.2,88,26
2025-05-13 20:00:00,3,Berawan,4.2,90,26
2025-05-13 23:00:00,3,Berawan,4.6,91,25
2025-05-11 14:00:00,61,Hujan Ringan,1.7,80,28
2025-05-11 17:00:00,3,Berawan,4.1,83,28
2025-05-11 20:00:00,3,Berawan,2.1,86,27
2025-05-11 23:00:00,3,Berawan,1.5,90,26
2025-05-12 02:00:00,3,Berawan,3.7,94,25
2025-05-12 05:00:00,3,Berawan,2.2,94,25
2025-05-12 08:00:00,3,Berawan,1.2,80,28
2025-05-12 11:00:00,3,Berawan,5.2,71,30
2025-05-12 14:00:00,3,Berawan,3.4,70,30
2025-05-12 17:00:00,61,Hujan Ringan,1.3,86,27
2025-05-12 20:00:00,3,Berawan,3.9,87,27
2025-05-12 23:00:00,3,Berawan,2.1,92,26
2025-05-13 02:00:00,3,Berawan,6,91,26
2025-05-13 05:00:00,3,Berawan,4.1,92,25
2025-05-13 08:00:00,3,Berawan,4.1,81,28
2025-05-13 11:00:00,2,Cerah Berawan,7.9,74,30
2025-05-13 14:00:00,61,Hujan Ringan,7.9,77,28
2025-05-13 17:00:00,61,Hujan Ringan,4.2,88,26
2025-05-13 20:00:00,3,Berawan,4.2,90,26
